bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000110,20,0,0.58,0,0,163000,1,2,0.99,9,0,0,,保证,否,自置,3,1.17,0,0
GOOD,A000111,20,0,0.34,0,3,20000,1,2,0.89,6,0,0,,保证,否,自置,6,0.25,0,0
GOOD,A000112,20,0,0.92,0,1,3600,1,1,0.98,4,0,3,,保证,否,自置,4,0.5,0,3.1004963895
GOOD,A000113,20,0,1,1,3,53000,1,2,0.92,3,0,0,,保证,否,其他,4,2.14,0,3.6184070495
GOOD,A000114,20,0,0.93,2,0,50000,1,1,0.86,1,0,0,,保证,否,自置,3,0.2,0,0
GOOD,A000115,20,0,,,,,,,,,,,,抵押,,自置,14,10,0,0
GOOD,A000116,20,0,0.35,1,4,490000,1,2,0.96,6,0,0,,保证,否,自置,3,0.5,0,10.651294718
BAD,A000117,20,1,0.7,0,6,65000,4,5,0.54,9,1,1,296.97,保证,否,其他,5,0.52,0,0
BAD,A000118,10/MISS,1,0.79,0,3,3500,1,1,0.95,8,0,1,,保证,否,其他,5,0.2,0,0
GOOD,A000119,20,0,,,,,,,,,,,,抵押,,自置,11,10,5.5,20
GOOD,A000120,20,0,0.51,4,10,100000,0,4,0.89,6,0,0,,抵押,否,自置,3,0.03,1.5,3.7982179452
GOOD,A000121,20,0,0.16,1,6,1600,1,2,0.96,2,0,1,,保证,否,自置,5,1,0,3.7656273535
BAD,A000122,20,1,0.6,0,1,10000,1,2,0.91,4,0,0,278.36,保证,否,自置,7,0.2,0,0
GOOD,A000123,20,0,0.71,7,15,148000,0,2,0.94,6,0,0,,保证,否,自置,14,0.25,0,1.2007361954
BAD,A000124,10/MISS,1,0.35,1,1,10000,1,2,0.85,3,0,0,377.78,保证,否,其他,4,1,0,0.8079182451
GOOD,A000125,20,0,0.58,1,6,148000,1,4,0.99,10,0,0,,抵押,否,其他,11,0.42,2.8,0
GOOD,A000126,20,0,0.73,3,4,460000,1,2,0.98,4,0,1,196.53,抵押,否,自置,4,0.2,1.86,0
BAD,A000127,20,1,1,0,2,7000,1,1,0.94,1,0,1,216.51,保证,否,自置,,0.88,0,0
GOOD,A000128,20,0,0.37,2,3,490341.3188,1,2,0.96,2,0,0,,保证,否,自置,4,0.67,0,6.0424312953
GOOD,A000129,20,0,0,1,3,10000,1,1,0.98,1,0,0,,信用,否,自置,5,10,0,0
GOOD,A000130,20,0,0.34,2,11,490341.3188,0,2,0.96,12,0,0,,信用,否,自置,8,0.4,0,0
BAD,A000131,20,1,0.43,2,8,250000,1,2,0.9,4,0,0,,保证,否,自置,12,1,0,0
GOOD,A000132,10/MISS,0,0.48,1,6,150000,1,2,0.98,14,0,0,,信用,否,其他,24,0.23,0,0
BAD,A000133,20,1,0.61,3,1,47000,1,3,0.88,10,0,2,573.9,保证,否,自置,11,0.98,0,0
GOOD,A000134,10/MISS,0,0.56,0,2,10000,0,2,0.92,11,0,0,,信用,否,其他,,0.13,0,0
GOOD,A000135,20,0,,,,,,,,,,,,抵押,,自置,10,10,0,5
GOOD,A000136,20,0,,,,,,,,,,,,抵押,,自置,11,10,2.68,9.2
GOOD,A000137,20,0,,,,,,,,,,,,抵押,,自置,8,10,1.44,15.6
