bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000149,20,0,0.72,0,3,64000,0,2,0.92,4,0,2,,保证,否,自置,10,0.75,0,2.6369614866
GOOD,A000150,20,0,0.49,4,6,151100,0,2,1,9,0,2,201.86,抵押,否,自置,3,0.23,2.18,2.8903606916
BAD,A000151,20,1,0.46,1,7,135000,0,1,1,9,1,0,,保证,否,自置,2,0.31,0,6.182895423
BAD,A000152,20,1,1,0,4,0,0,0,1,1,0,0,,信用,否,自置,3,10,0,4.5461630384
GOOD,A000153,10/MISS,0,0.62,3,1,140000,1,2,0.96,5,0,0,,保证,否,自置,3,0.39,0,2.7873923457
GOOD,A000154,20,0,0.55,7,5,48000,0,2,0.98,6,0,0,,保证,否,自置,5,0.21,0,0
GOOD,A000155,10/MISS,0,0.33,2,5,93500,0,1,1,9,0,1,626.38,抵押,否,其他,1,0.23,1.43,14.81273006
GOOD,A000156,10/MISS,0,0.81,2,2,50000,0,1,0.98,7,0,3,,保证,否,自置,3,0.33,0,3.3100453256
GOOD,A000157,20,0,0.72,1,6,40000,0,1,0.95,6,0,0,,保证,否,自置,14,2,0,0
GOOD,A000158,10/MISS,0,0.41,0,1,84000,0,0,1,4,0,0,,信用,否,其他,3,0.67,0,0
GOOD,A000159,20,0,0.89,3,4,22000,0,0,1,4,1,1,,保证,否,自置,2,0.22,0,0
GOOD,A000160,20,0,0.31,1,5,280000,0,1,1,5,0,2,,抵押,否,自置,6,0.93,2.04,1.5753323951
GOOD,A000161,20,0,0.68,1,11,30000,0,1,0.93,5,0,2,,保证,否,自置,14,0.4,0,2.9397430594
GOOD,A000162,10/MISS,0,1,1,1,50000,0,2,1,1,0,1,635.06,保证,否,自置,12,0.19,0,13.09729573
GOOD,A000163,20,0,0.73,5,4,78000,0,1,1,6,0,2,,保证,否,自置,8,0.4,0,3.1471559781
GOOD,A000164,10/MISS,0,0.62,0,0,0,0,0,1,1,0,0,,保证,否,自置,1,10,0,0
GOOD,A000165,20,0,0.69,0,7,64000,0,0,1,1,0,0,,保证,否,自置,2,1,0,3.7418334485
GOOD,A000166,20,0,0.7,3,7,0,0,1,1,10,0,0,,保证,否,自置,6,10,0,3.2894343369
GOOD,A000167,20,0,0.71,3,3,200000,0,2,0.96,5,0,0,,保证,否,自置,7,1,0,0.9726028882
BAD,A000168,20,1,0.92,2,5,380000,1,2,0.78,0,0,0,,保证,否,自置,,1,0,7.7228339261
GOOD,A000169,20,0,0.93,8,6,100000,0,0,1,3,0,0,,保证,否,自置,18,0.38,0,1.6038502375
GOOD,A000170,10/MISS,0,0.38,1,4,337000,0,1,0.93,4,0,0,,保证,否,自置,3,0.15,0,0
GOOD,A000171,20,0,0.79,0,9,50000,0,0,1,7,0,4,,保证,否,自置,8,1,0,0
BAD,A000172,20,1,0.35,3,6,120000,0,1,0.99,9,0,3,,保证,否,自置,13,0.67,0,1.8364456411
GOOD,A000173,10/MISS,0,0.29,4,7,50000,0,1,0.98,6,0,1,,保证,否,自置,3,0.33,0,1.8208730593
GOOD,A000174,10/MISS,0,0.33,0,1,60000,0,0,1,3,0,0,,保证,否,自置,2,1,0,0
GOOD,A000175,10/MISS,0,0.64,2,5,17100,0,0,1,5,0,2,,保证,否,自置,3,1.33,0,7.804979577
GOOD,A000176,20,0,0.75,3,8,0,0,1,1,7,0,0,,保证,否,自置,0,10,0,0
GOOD,A000177,10/MISS,0,0,0,0,0,0,0,1,0,0,0,,信用,否,其他,,10,0,0
